id,state,location,mobile_orders,Catering,Pickup,Delivery,WiFi,Playground,breakfast_served,drive_thru,sandwich_price
752,ga,Dwarf House Shipping Container Drive-Thru,Yes,Yes,Yes,Yes,No,No,Yes,Yes,4.95
753,ga,Eagles Landing,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
754,ga,East Lake,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
755,ga,Eisenhower Parkway,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
756,ga,Ellijay,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
757,ga,Epps Bridge,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
758,ga,Fairburn,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
759,ga,Fairburn Road Drive-Thru Only,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
760,ga,Fayetteville Dwarf House,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
761,ga,Fayetteville Towne Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
762,ga,Forest Park Dwarf House,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
763,ga,Fort Oglethorpe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
764,ga,Fort Valley State University,No,No,No,No,No,No,No,No,
765,ga,Gainesville West,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
766,ga,Georgia College and State University,No,No,No,No,Yes,No,Yes,No,
767,ga,Georgia Gwinnett College,No,No,No,No,Yes,No,No,No,
768,ga,Georgia Southern University,No,No,No,No,Yes,No,Yes,No,
769,ga,Georgia Southern University - Armstrong Campus,No,No,No,No,No,No,No,No,
770,ga,Georgia Southwestern State University,No,No,No,No,No,No,No,No,
771,ga,Georgia State University,No,No,No,No,No,No,Yes,No,
772,ga,Georgia State University - Petit Science Center,No,No,No,No,No,No,No,No,
773,ga,Glenwood Place,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
774,ga,Grady Memorial Hospital,No,No,No,No,No,No,Yes,No,
775,ga,Griffin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
776,ga,Grovetown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
777,ga,Gulfstream Aerospace,No,No,No,No,No,No,No,No,
778,ga,Halcyon,No,No,No,No,No,No,No,No,
779,ga,Hamilton Mill,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
780,ga,Hartsfield-Jackson Atlanta Int'l Airport - Conc A,No,No,No,No,No,No,Yes,No,
781,ga,Hartsfield-Jackson Atlanta Int'l Airport - Conc C,No,No,No,No,No,No,Yes,No,
782,ga,Hickory Flat,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
783,ga,Hinesville,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
784,ga,Hiram,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
785,ga,Howell Mill,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
786,ga,Hwy 96 and Houston Lake,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
787,ga,Jefferson (GA),Yes,No,No,No,Yes,No,Yes,Yes,4.75
788,ga,Jesse Jewell Parkway,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
789,ga,Jett Ferry Road,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
790,ga,Jimmy Carter Blvd.,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
791,ga,Johns Creek,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
792,ga,Jonesboro Dwarf House,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
793,ga,Kedron Village,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
794,ga,Kennesaw State University,No,No,No,No,Yes,No,Yes,No,
795,ga,Kennesaw State University - Marietta,No,No,No,No,No,No,Yes,No,
796,ga,Kingsland,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
797,ga,Kroger/W. Marietta Crossing,Yes,No,No,No,No,No,Yes,No,4.89
798,ga,LaFayette Parkway,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
799,ga,Lake Dow,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.75
800,ga,Lake Oconee [GA],Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
801,ga,Lake Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
802,ga,LakePoint,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
803,ga,Lassiter,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
804,ga,Lavonia [GA],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
805,ga,Lee Crossings,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
806,ga,Lenox Square,Yes,Yes,Yes,No,Yes,No,No,No,5.09
807,ga,Lilburn,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
808,ga,Line Creek,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
809,ga,Locust Grove,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4.75
810,ga,Loganville,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
811,ga,Lovejoy Station,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.75
812,ga,Macland Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
813,ga,Macon Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
814,ga,Madison (GA),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
815,ga,Mall of Georgia,Yes,Yes,Yes,No,Yes,No,No,No,5.09
816,ga,Mall of Georgia on Buford Drive,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
817,ga,Manchester Expressway,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
818,ga,McDonough,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
819,ga,Memorial Drive,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
820,ga,Mercedes-Benz Stadium,No,No,No,No,No,No,No,No,5.09
821,ga,Mercer University,No,No,No,No,Yes,No,Yes,No,
822,ga,Midland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
823,ga,Midtown Savannah,Yes,Yes,Yes,Yes,No,No,Yes,Yes,4.85
824,ga,Milledgeville,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
825,ga,Monroe (GA),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
826,ga,Moore Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
827,ga,Moultrie,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
828,ga,Mullins Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
829,ga,North Dalton,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
830,ga,North Decatur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
831,ga,North Druid Hills,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
832,ga,North Druid Hills Drive-Thru Only,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
833,ga,North Point Mall,Yes,No,No,No,Yes,No,No,No,5.09
834,ga,North Point Parkway,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
835,ga,North Valdosta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
836,ga,Northeast Georgia Medical Center,No,No,No,No,No,No,Yes,No,
837,ga,Northlake Festival,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
838,ga,Northridge Drive-Thru Only,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
839,ga,Oglethorpe Mall,Yes,Yes,Yes,Yes,Yes,No,No,No,5.09
840,ga,Outlet Shoppes at Atlanta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
841,ga,Peach Orchard Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
842,ga,Peachtree at Collier,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
843,ga,Peachtree Center,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.09
844,ga,Peachtree City Midtown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
845,ga,Peachtree Corners,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
846,ga,Peachtree Ind. & Pleasant Hill,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.79
847,ga,Peachtree Mall,Yes,Yes,Yes,No,Yes,No,No,No,5.19
848,ga,Perimeter at Hammond Drive,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
849,ga,Perimeter Mall,Yes,No,No,No,Yes,No,No,No,5.25
850,ga,Perimeter Pointe,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.85
851,ga,Piedmont Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
852,ga,Pike Street,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
853,ga,Pleasant Hill Dwarf House,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
854,ga,Ponce & Boulevard,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
855,ga,Pooler,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
856,ga,Poplar Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
857,ga,RELO Hills and Dales,No,No,No,No,No,No,No,No,
858,ga,RELO Hiram,No,No,No,No,No,No,No,No,4.75
859,ga,RELO Lanier Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
860,ga,RELO Larry Mulkey Memorial Rd,No,No,No,No,No,No,No,No,
861,ga,RELO Sugarloaf and Satellite,No,No,No,No,No,No,No,No,4.99
862,ga,RELO Tucker Hugh Howell Road,No,No,No,No,No,No,No,No,4.85
863,ga,RELO Wesley Chapel Road,No,No,No,No,No,No,No,No,
864,ga,RELO Winder,No,No,No,No,No,No,No,No,4.75
865,ga,Rincon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
866,ga,Riverdale Dwarf House,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
867,ga,Rivermont Station,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
868,ga,Riverstone Parkway,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
869,ga,Robson Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
870,ga,Rockmart,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
871,ga,Roswell Corners,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
872,ga,Roswell Road at Cobb Parkway,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
873,ga,Roswell Town Center,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
874,ga,Russell Parkway,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
875,ga,Saint Simons,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
876,ga,Salem Bridge [GA],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
877,ga,Sam Nunn Blvd,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.79
878,ga,Sandy Springs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
879,ga,Sanford Stadium,Yes,Yes,Yes,No,No,No,Yes,No,5.09
880,ga,Savannah Quarters,Yes,Yes,Yes,No,Yes,No,Yes,Yes,4.85
881,ga,Savannah State University,No,No,No,No,No,No,Yes,No,
882,ga,Scenic Highway,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.95
883,ga,Senoia,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
884,ga,Smyrna (GA),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
885,ga,Snellville at Hwy 78,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
886,ga,South Cobb Drive,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
887,ga,Sprayberry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
888,ga,St. Augustine Road,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
889,ga,Starr's Mill,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
890,ga,Statesboro,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
891,ga,Stone Mountain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
892,ga,Stonebridge Village,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
893,ga,Sugarloaf & 316,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
894,ga,Sugarloaf & Satellite,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
895,ga,Suwanee Road,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
896,ga,Terminus In-Line,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.19
897,ga,Terrell Mill,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
898,ga,The Collection Forsyth,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.75
899,ga,The Dwarf House,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.95
900,ga,The Mall at Stonecrest,Yes,Yes,Yes,Yes,No,No,No,No,5.09
901,ga,Thomaston [GA],Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.79
902,ga,Thomasville,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
903,ga,Thomson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
904,ga,Thornton Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
905,ga,Tifton,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
906,ga,Toccoa [GA],Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
907,ga,Tom Hill Sr Blvd,Yes,Yes,Yes,No,Yes,No,Yes,Yes,4.85
908,ga,Town Center At Cobb,Yes,Yes,Yes,No,Yes,No,No,No,5.19
909,ga,Towne Lake,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
910,ga,Truett's Chick-fil-A - Newnan,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
911,ga,Truett's Chick-fil-A - Rome,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
912,ga,Truett's Chick-fil-A - Stockbridge,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
913,ga,Truett's Chick-fil-A - Woodstock,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
914,ga,Truett's Chick-fil-A Catering & Delivery - VA Ave,No,Yes,Yes,Yes,No,No,Yes,No,4.95
915,ga,Truett's Grill - Griffin,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
916,ga,Truett's Grill - McDonough,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
917,ga,Truett's Grill - Morrow,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
918,ga,Truett's Luau,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
919,ga,Truist Park,No,No,No,No,No,No,No,No,5.19
920,ga,Tucker Station,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
921,ga,Turner Hill Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
922,ga,Union Grove Crossroads,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
923,ga,University Hospital-Augusta,No,No,No,No,Yes,No,No,No,
924,ga,University of Georgia,No,No,No,No,No,No,Yes,No,
925,ga,University of West Georgia,No,No,No,No,No,No,Yes,No,
926,ga,Valdosta State University - Student Union,No,No,No,No,No,No,Yes,No,
927,ga,Victory at Skidaway,Yes,Yes,Yes,No,Yes,No,Yes,Yes,4.85
928,ga,Vidalia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
929,ga,Villa Rica,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
930,ga,Vine City,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.79
931,ga,Vinings,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
932,ga,Washington Road,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
933,ga,Watson Blvd,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
934,ga,Waycross,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.79
935,ga,Wesley Chapel Road,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
936,ga,West Cobb,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
937,ga,West Midtown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
938,ga,West Paces Ferry,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
939,ga,Winder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
940,ga,Windward Parkway,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
941,ga,Windy Hill Road,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
942,ga,Woodlawn Square,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
943,ga,Young Harris College,No,No,No,No,No,No,No,No,
944,ga,Zebulon Road,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.85
945,id,Ammon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
946,id,Boise State University,No,No,No,No,Yes,No,No,No,
947,id,Brigham Young University - Idaho,No,No,No,No,Yes,No,No,No,
948,id,Broadway & Front,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
949,id,Franklin Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
950,id,Idaho State University,No,No,No,No,Yes,No,No,No,
951,id,Treasure Valley Nampa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
952,id,Twin Falls,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
953,id,University of Idaho,No,No,No,No,Yes,No,No,No,
954,id,Village at Meridian,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.09
955,il,Addison & Elston (IL) In-Line,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.69
956,il,Algonquin (IL),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.09
957,il,Batavia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
958,il,Bloomingdale,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.19
959,il,Bolingbrook,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
960,il,Bradley Bourbonnais (IL),Yes,Yes,Yes,No,No,No,Yes,Yes,4.99
961,il,Bradley University,No,No,No,No,Yes,No,No,No,
962,il,Bucktown (IL),Yes,Yes,Yes,No,No,Yes,Yes,Yes,5.69
963,il,Buffalo Grove (IL),No,No,No,No,No,No,No,No,
964,il,Champaign (IL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
965,il,Chicago & Orleans Delivery,Yes,Yes,Yes,Yes,No,No,No,No,5.99
966,il,Chicago O'Hare International Airport - Terminal 5,No,No,No,No,No,No,No,No,
967,il,Chicago Ridge,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
968,il,Chicago Union Station,No,No,No,No,No,No,Yes,No,
969,il,Countryside,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
970,il,Crestwood (IL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
971,il,Crystal Lake,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
972,il,Deerfield (IL),Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5.39
973,il,East Peoria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
974,il,Eastern Illinois University,No,No,No,No,Yes,No,No,No,
975,il,Edwardsville (IL),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.09
976,il,Elgin (IL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
977,il,Elmhurst,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
978,il,Fairview Heights,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
979,il,Ford City (IL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.19
980,il,Fox Valley Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
981,il,Golf Mill (IL),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.25
982,il,Green Mount Commons,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5.09
983,il,Gurnee,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
984,il,Homewood (IL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
985,il,Illinois Medical District (IL) In-Line,Yes,Yes,Yes,No,No,No,Yes,No,5.99
986,il,Joliet (IL),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.25
987,il,Kildeer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
988,il,Lombard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
989,il,Loyola Water Tower In-Line,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.99
990,il,Machesney Park (IL),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.99
991,il,Melrose Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
992,il,Michigan Avenue (IL) In-Line,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5.99
993,il,Millennium Park (IL) In-Line,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.99
994,il,Moline,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
995,il,Mount Prospect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
996,il,Niles (IL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
997,il,Norridge (IL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
998,il,North Riverside,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
999,il,Old Orchard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
1000,il,Orland Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.59
1001,il,Oswego,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
1002,il,Peoria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
1003,il,Rockford,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
1004,il,Schaumburg,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
1005,il,South Loop (IL),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.69
1006,il,Southern Illinois University - Carbondale,No,No,No,No,No,No,No,No,
1007,il,Southern Illinois University-Edwardsville,No,No,No,No,No,No,No,No,
1008,il,State and Lake In-Line,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.99
1009,il,Touhy Marketplace (IL),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.39
1010,il,University of Illinois - Chicago,No,No,No,No,No,No,No,No,
1011,il,Vernon Hills,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
1012,il,Veterans & College,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
1013,il,West Schaumburg,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
1014,il,Western Illinois University,No,No,No,No,No,No,No,No,
1015,il,Wheaton,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
1016,il,White Oaks,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
1017,il,Willowbrook,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.39
1018,il,Wrigleyville (IL) In-Line,Yes,Yes,Yes,No,No,No,Yes,No,5.69
1019,in,Anderson University,No,No,No,No,No,No,No,No,
1020,in,Anson (IN),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
1021,in,Avon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
1022,in,Ball State University,No,No,No,No,No,No,Yes,No,
1023,in,Bloomington East,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
1024,in,Broad Ripple,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
1025,in,Castleton Square,Yes,Yes,Yes,Yes,Yes,No,No,No,5.09
1026,in,Circle Centre Mall,Yes,No,No,No,No,No,No,No,4.85
1027,in,Coliseum Boulevard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
1028,in,College Mall,Yes,No,No,No,Yes,No,No,No,5.09
1029,in,Columbus National,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
1030,in,Cross Pointe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
1031,in,Downtown Indy (IN) In-Line,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.09
1032,in,East Washington St. - Indianapolis,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.99
1033,in,Eastland Mall (IN),Yes,Yes,Yes,Yes,Yes,No,No,No,5.09
1034,in,Gainbridge Fieldhouse,Yes,No,No,No,No,No,Yes,No,5.09
1035,in,Glenbrook Square,Yes,Yes,Yes,Yes,No,No,No,No,5.09
1036,in,Greenfield (IN),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.99
1037,in,Greenwood,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
1038,in,Greenwood Park Mall (IN),Yes,Yes,Yes,Yes,No,No,No,No,5.39
1039,in,Hwy 36 & Beechwood Dr (IN),No,No,No,No,No,No,No,No,
1040,in,Hwy 38 & Creasy Lane (IN),No,No,No,No,No,No,No,No,
1041,in,Indiana University Purdue Univ at Indianapolis,No,No,No,No,No,No,No,No,
1042,in,Indiana Wesleyan University,No,No,No,No,No,No,No,No,
1043,in,Indianapolis International Airport,No,No,No,No,Yes,No,No,No,
1044,in,Jefferson Pointe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
1045,in,Jeffersonville,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.79
1046,in,Lafayette (IN),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
1047,in,Marian University,No,No,No,No,No,No,Yes,No,
1048,in,Merrillville,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.09
1049,in,Mishawaka Main Street,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
1050,in,Muncie,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
1051,in,New Albany,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.79
1052,in,Noblesville at SR37,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
1053,in,North Greenwood (IN),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.09
1054,in,Plainfield,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
