id,state,location,mobile_orders,Catering,Pickup,Delivery,WiFi,Playground,breakfast_served,drive_thru,sandwich_price
555,fl,Naples Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.25
556,fl,Navy Blvd,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
557,fl,New Tampa at I-75,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
558,fl,Niceville,Yes,Yes,Yes,No,No,Yes,Yes,Yes,4.99
559,fl,Nine Mile Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
560,fl,Nona,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
561,fl,North Dale Mabry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
562,fl,North Lakeland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
563,fl,North Miami Beach,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
564,fl,North Monroe Street,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.89
565,fl,North Viera,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
566,fl,Northlake Boulevard,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.09
567,fl,Oakleaf Town Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
568,fl,Oaks Mall,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.29
569,fl,Ocala,Yes,Yes,Yes,No,Yes,No,Yes,Yes,5.09
570,fl,Ocoee,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
571,fl,Okeechobee and Turnpike,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
572,fl,Oldsmar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
573,fl,Orange Avenue,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
574,fl,Orlando Ave. at Fairbanks,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.99
575,fl,Orlando Int’l Airport – North Terminal/Pre-Sec,No,No,No,No,No,No,Yes,No,
576,fl,Orlando International Airport - South Terminal,No,No,No,No,No,No,Yes,No,
577,fl,Orlando Square,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
578,fl,Ormond Towne Square,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
579,fl,Ortega Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
580,fl,Oviedo/North UCF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
581,fl,Paddock Mall,Yes,Yes,Yes,Yes,Yes,No,No,No,5.25
582,fl,Palm Bay Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
583,fl,Palm Beach Atlantic University,No,No,No,No,No,No,Yes,No,
584,fl,Palm Beach Lakes Blvd.,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.09
585,fl,Palm Coast,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
586,fl,Palm Harbor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
587,fl,Palmetto Park & I-95,Yes,Yes,Yes,No,Yes,No,Yes,Yes,5.09
588,fl,Panama City Beach,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
589,fl,Park Place,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.89
590,fl,Pelican Plaza,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
591,fl,Pembroke Lakes Mall,Yes,Yes,Yes,Yes,Yes,No,No,No,5.39
592,fl,Pensacola Christian College,No,Yes,Yes,No,No,No,No,No,
593,fl,Pensacola International Airport,No,No,No,No,No,No,Yes,No,
594,fl,Pine Island Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
595,fl,Pines and Flamingo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.19
596,fl,Plant City,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
597,fl,Pompano Beach,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
598,fl,Port Charlotte,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
599,fl,Port Orange Gateway Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
600,fl,Regency Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
601,fl,RELO - Doral,No,No,No,No,No,No,No,No,5.09
602,fl,RELO Apopka,No,No,No,No,No,No,No,No,
603,fl,RELO Lake Buena Vista,No,No,No,No,No,No,No,No,
604,fl,River City Marketplace,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
605,fl,River Landing In-Line,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.59
606,fl,Riverview (FL),Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5.09
607,fl,Royal Palm Beach,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.19
608,fl,Sand Lake Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
609,fl,Sanford (FL),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
610,fl,Sawgrass Square,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5.19
611,fl,Saxon Boulevard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
612,fl,Seminole Plaza,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
613,fl,Shands Hospital (Sun Terrace)-Gainesville,No,No,No,No,No,No,Yes,No,
614,fl,South Dale Mabry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.99
615,fl,South Florida Avenue,Yes,No,No,No,Yes,Yes,Yes,No,4.95
616,fl,South Magnolia Drive,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.89
617,fl,South Walton,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5.49
618,fl,Southchase Plaza,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
